Index,Time,uwTick
1257,16.824000,13374
1258,16.834000,13384
1259,16.844000,13395
1260,16.855000,13406
1261,16.865000,13416
1262,16.875000,13426
1263,16.886000,13437
1264,16.897000,13448
1265,16.908000,13459
1266,16.919000,13470
1267,16.929000,13480
1268,16.939000,13490
1269,16.950000,13501
1270,16.961000,13512
1271,16.972000,13523
1272,16.982000,13533
1273,16.993000,13544
1274,17.004000,13555
1275,17.015000,13565
1276,17.025000,13575
1277,17.036000,13587
1278,17.047000,13598
1279,17.059000,13610
1280,17.071000,13621
1281,17.082000,13632
1282,17.092000,13643
1283,17.103000,13653
1284,17.113000,13664
1285,17.123000,13674
1286,17.134000,13685
1287,17.145000,13696
1288,17.156000,13707
1289,17.167000,13717
1290,17.177000,13727
1291,17.187000,13738
1292,17.198000,13749
1293,17.208000,13759
1294,17.219000,13770
1295,17.231000,13781
1296,17.241000,13791
1297,17.252000,13802
1298,17.262000,13813
1299,17.273000,13823
1300,17.283000,13834
1301,17.294000,13844
1302,17.304000,13854
1303,17.315000,13865
1304,17.325000,13875
1305,17.335000,13886
1306,17.346000,13897
1307,17.357000,13908
1308,17.368000,13918
1309,17.378000,13929
1310,17.389000,13940
1311,17.400000,13950
1312,17.410000,13961
1313,17.421000,13972
1314,17.432000,13983
1315,17.443000,13994
1316,17.453000,14004
1317,17.464000,14014
1318,17.475000,14025
1319,17.485000,14035
1320,17.496000,14046
1321,17.507000,14057
1322,17.518000,14068
1323,17.528000,14079
1324,17.540000,14091
1325,17.551000,14101
1326,17.561000,14112
1327,17.571000,14122
1328,17.582000,14133
1329,17.592000,14143
1330,17.603000,14154
1331,17.613000,14164
1332,17.624000,14174
1333,17.634000,14184
1334,17.644000,14195
1335,17.655000,14206
1336,17.666000,14216
1337,17.677000,14228
1338,17.687000,14238
1339,17.698000,14248
1340,17.709000,14260
1341,17.719000,14270
1342,17.730000,14280
1343,17.740000,14291
1344,17.751000,14302
1345,17.762000,14313
1346,17.773000,14324
1347,17.785000,14335
1348,17.795000,14346
1349,17.806000,14356
1350,17.816000,14367
1351,17.827000,14378
1352,17.838000,14389
1353,17.849000,14400
1354,17.859000,14410
1355,17.869000,14420
1356,17.880000,14430
1357,17.890000,14441
1358,17.901000,14452
1359,17.912000,14463
1360,17.923000,14474
1361,17.933000,14484
1362,17.944000,14495
1363,17.955000,14505
1364,17.965000,14516
1365,17.975000,14526
1366,17.986000,14537
1367,17.998000,14548
